Timestamp,RU Power,DU Power,CU Power,Total Power
2024-12-20T00:00:00+00:00,4960.0,5380.0,218.0,10558.0
2024-12-20T01:00:00+00:00,5252.0,5672.0,225.0,11149.0
2024-12-20T02:00:00+00:00,4788.0,5208.0,214.0,10210.0
2024-12-20T03:00:00+00:00,4798.0,5218.0,214.0,10230.0
2024-12-20T04:00:00+00:00,4664.0,5084.0,211.0,9959.0
2024-12-20T05:00:00+00:00,4930.0,5350.0,217.0,10497.0
2024-12-20T06:00:00+00:00,5126.0,5546.0,222.0,10894.0
2024-12-20T07:00:00+00:00,5770.0,6190.0,237.0,12197.0
2024-12-20T08:00:00+00:00,6078.0,6498.0,245.0,12821.0
2024-12-20T09:00:00+00:00,6742.0,7162.0,261.0,14165.0
2024-12-20T10:00:00+00:00,6884.0,7304.0,264.0,14452.0
2024-12-20T11:00:00+00:00,7296.0,7716.0,274.0,15286.0
2024-12-20T12:00:00+00:00,7396.0,7816.0,276.0,15488.0
2024-12-20T13:00:00+00:00,7414.0,7834.0,277.0,15525.0
2024-12-20T14:00:00+00:00,8024.0,8444.0,291.0,16759.0
2024-12-20T15:00:00+00:00,7452.0,7872.0,277.0,15601.0
2024-12-20T16:00:00+00:00,7274.0,7694.0,273.0,15241.0
2024-12-20T17:00:00+00:00,6954.0,7374.0,266.0,14594.0
2024-12-20T18:00:00+00:00,6176.0,6596.0,247.0,13019.0
2024-12-20T19:00:00+00:00,6086.0,6506.0,245.0,12837.0
2024-12-20T20:00:00+00:00,5880.0,6300.0,240.0,12420.0
2024-12-20T21:00:00+00:00,5440.0,5860.0,230.0,11530.0
2024-12-20T22:00:00+00:00,5288.0,5708.0,226.0,11222.0
2024-12-20T23:00:00+00:00,5538.0,5958.0,232.0,11728.0
